1841,variation,,"Verve Dry Fit - L",1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,,29.99,,,,,,,M-TSH-1-3,,,,,,1,size,L,,1,,,,,,,,,,,,,,,,,,,color,,,1,
1842,variation,,"Verve Dry Fit - M",1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,,29.99,,,,,,,M-TSH-1-3,,,,,,1,size,M,,1,,,,,,,,,,,,,,,,,,,color,,,1,
1843,variation,,"Verve Dry Fit - XXL",1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,,29.99,,,,,,,M-TSH-1-4,,,,,,1,size,XXL,,1,,,,,,,,,,,,,,,,,,,color,,,1,
1844,variation,,"Verve Dry Fit - XL",1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,,29.99,,,,,,,M-TSH-1-4,,,,,,1,size,XL,,1,,,,,,,,,,,,,,,,,,,color,,,1,
1845,variation,,"Verve Dry Fit - L",1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,,29.99,,,,,,,M-TSH-1-4,,,,,,1,size,L,,1,,,,,,,,,,,,,,,,,,,color,,,1,
1846,variation,,"Verve Dry Fit - M",1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,,29.99,,,,,,,M-TSH-1-4,,,,,,1,size,M,,1,,,,,,,,,,,,,,,,,,,color,,,1,
1865,variation,,,1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,,24.99,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1866,variation,,,1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,,24.99,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1867,variation,,,1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,,24.99,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868,variation,,,1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,,24.99,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,variation,,"Verve Dry Fit",1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,,29.99,,,,,,,M-TSH-1-1,,,,,,1,size,,,1,,,,,,,,,,,,,,,,,,,,,,,
1877,variation,,"Verve Dry Fit",1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,,29.99,,,,,,,M-TSH-1-1,,,,,,1,size,,,1,,,,,,,,,,,,,,,,,,,,,,,
1878,variation,,"Verve Dry Fit",1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,,29.99,,,,,,,M-TSH-1-1,,,,,,1,size,,,1,,,,,,,,,,,,,,,,,,,,,,,
1879,variation,,"Verve Dry Fit",1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,,29.99,,,,,,,M-TSH-1-1,,,,,,1,size,,,1,,,,,,,,,,,,,,,,,,,,,,,
1891,variation,,"Verve Dry Fit - XXL, Sporting Red - Black - White",1,0,visible,,,,,taxable,parent,0,0,0,0,,,,,0,,,29.99,,,,,,,M-TSH-1-2,,,,,,1,size,XXL,,1,,,,,,,,,,,,,,,,,,,color,"Sporting Red - Black - White",,1,
1892,variation,,"Verve Dry Fit - XL, Sporting Red - Black - White",1,0,visible,,,,,taxable,parent,0,0,0,0,,,,,0,,,29.99,,,,,,,M-TSH-1-2,,,,,,1,size,XL,,1,,,,,,,,,,,,,,,,,,,color,"Sporting Red - Black - White",,1,
1893,variation,,"Verve Dry Fit - L, Sporting Red - Black - White",1,0,visible,,,,,taxable,parent,0,0,0,0,,,,,0,,,29.99,,,,,,,M-TSH-1-2,,,,,,1,size,L,,1,,,,,,,,,,,,,,,,,,,color,"Sporting Red - Black - White",,1,
1894,variation,,"Verve Dry Fit - M, Sporting Red - Black - White",1,0,visible,,,,,taxable,parent,0,0,0,0,,,,,0,,,29.99,,,,,,,M-TSH-1-2,,,,,,1,size,M,,1,,,,,,,,,,,,,,,,,,,color,"Sporting Red - Black - White",,1,
1896,variation,,"Verve Dry Fit - Sporting Red - Black - White",1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,,29.99,,,,,,,M-TSH-1-3,,,,,,1,size,,,1,,,,,,,,,,,,,,,,,,,color,"Sporting Red - Black - White",,1,
1897,variation,,"Verve Dry Fit - Maroon - Black - White",1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,,29.99,,,,,,,M-TSH-1-3,,,,,,1,size,,,1,,,,,,,,,,,,,,,,,,,color,"Maroon - Black - White",,1,
1898,variation,,"Verve Dry Fit - Gray-Black",1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,,29.99,,,,,,,M-TSH-1-3,,,,,,1,size,,,1,,,,,,,,,,,,,,,,,,,color,Gray-Black,,1,
1899,variation,,"Verve Dry Fit - Blue -White",1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,,29.99,,,,,,,M-TSH-1-3,,,,,,1,size,,,1,,,,,,,,,,,,,,,,,,,color,"Blue -White",,1,
1901,variation,,"Verve Dry Fit - Sporting Red - Black - White",1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,,29.99,,,,,,,M-TSH-1-4,,,,,,1,size,,,1,,,,,,,,,,,,,,,,,,,color,"Sporting Red - Black - White",,1,
1902,variation,,"Verve Dry Fit - Maroon - Black - White",1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,,29.99,,,,,,,M-TSH-1-4,,,,,,1,size,,,1,,,,,,,,,,,,,,,,,,,color,"Maroon - Black - White",,1,
1903,variation,,"Verve Dry Fit - Gray-Black",1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,,29.99,,,,,,,M-TSH-1-4,,,,,,1,size,,,1,,,,,,,,,,,,,,,,,,,color,Gray-Black,,1,
